gamma,template_blend_weight,method,train_rmse,train_violations,test_violations
1.2,0.25,smooth_30,26.315852569810648,0,0
1.2,0.25,smooth_10,26.317413801958157,0,0
1.2,0.25,smooth_3,26.319468608436512,0,0
1.2,0.25,smooth_1,26.320730597750224,0,0
1.2,0.25,smooth_0.3,26.321547396838703,0,0
1.2,0.25,smooth_0.1,26.321949902945608,0,0
1.2,0.25,isotonic,26.322185476110405,0,0
1.2,0.25,none,26.322369665951687,11,0
1.2,0.25,cummin,26.323278053777667,0,0
1.0,0.25,smooth_30,26.35856182319995,0,0
1.0,0.25,smooth_10,26.360622649714628,0,0
1.0,0.25,smooth_3,26.363006310859372,0,0
1.0,0.25,smooth_1,26.364211319965293,0,0
1.0,0.25,smooth_0.3,26.364911180907672,0,0
1.0,0.25,smooth_0.1,26.365277656239623,0,0
1.0,0.25,isotonic,26.36564603719198,0,0
1.0,0.25,none,26.365677647576096,9,0
1.0,0.25,cummin,26.36616856233251,0,0
1.2,0.5,smooth_30,26.3926522270885,0,0
1.2,0.5,smooth_10,26.398749792229314,0,0
1.2,0.5,smooth_3,26.406145762277728,0,0
1.2,0.5,smooth_1,26.41035171487481,0,0
1.2,0.5,smooth_0.3,26.412807213228678,0,0
1.2,0.5,smooth_0.1,26.41369430659551,0,0
1.2,0.5,isotonic,26.414389604354163,0,0
1.2,0.5,none,26.41706133463228,63,8
1.2,0.5,cummin,26.418784351757658,0,0
1.0,0.0,smooth_30,26.444361124665388,0,0
1.0,0.0,smooth_10,26.444886969507067,0,0
1.0,0.0,smooth_3,26.445489722372532,0,0
1.0,0.0,smooth_1,26.445798768571034,0,0
1.0,0.0,smooth_0.3,26.4460224734524,0,0
1.0,0.0,smooth_0.1,26.446183112692776,0,0
1.0,0.0,none,26.44639374014417,0,0
1.0,0.0,cummin,26.44639374014417,0,0
1.0,0.0,isotonic,26.44639374014417,0,0
1.5,0.5,smooth_30,26.471405059090614,0,0
1.5,0.5,smooth_10,26.47693595671047,0,0
1.5,0.5,smooth_3,26.483789481303745,0,0
1.5,0.5,smooth_1,26.487819260429408,0,0
1.5,0.5,smooth_0.3,26.490062149598188,0,0
1.5,0.5,smooth_0.1,26.490960642504287,0,0
1.5,0.5,isotonic,26.49169910718529,0,0
1.5,0.5,none,26.49565551413585,51,5
1.5,0.5,cummin,26.499219945333508,0,0
1.0,0.5,smooth_30,26.590727722089696,0,0
1.0,0.5,smooth_10,26.597153708114156,0,0
1.0,0.5,smooth_3,26.604916683427618,0,0
1.0,0.5,smooth_1,26.609116974727506,0,0
1.0,0.5,smooth_0.3,26.611637382923018,0,0
1.0,0.5,smooth_0.1,26.612751687708638,0,0
1.0,0.5,isotonic,26.6134742807487,0,0
1.0,0.5,none,26.61538109164328,68,6
1.0,0.5,cummin,26.616922741490686,0,0
1.2,0.0,smooth_30,26.726492316952108,0,0
1.2,0.0,smooth_10,26.726618123251484,0,0
1.2,0.0,smooth_3,26.726825273696832,0,0
1.2,0.0,smooth_1,26.72702359018726,0,0
1.2,0.0,smooth_0.3,26.72722260209264,0,0
1.2,0.0,smooth_0.1,26.727368915914287,0,0
1.2,0.0,none,26.727545143984834,0,0
1.2,0.0,isotonic,26.727545143984834,0,0
1.2,0.0,cummin,26.727545143984834,0,0
1.5,0.75,smooth_30,26.84927420851513,0,0
1.5,0.25,smooth_30,26.852508092700457,0,0
1.5,0.25,smooth_10,26.854048714075994,0,0
1.5,0.25,smooth_3,26.855956844476577,0,0
1.5,0.25,smooth_1,26.857086966415064,0,0
1.5,0.25,smooth_0.3,26.857733695635527,0,0
1.5,0.25,smooth_0.1,26.857937119383433,0,0
1.5,0.25,isotonic,26.858133128631913,0,0
1.5,0.25,none,26.858837530008497,10,2
1.5,0.75,smooth_10,26.861685968826965,0,0
1.5,0.25,cummin,26.863799824921482,0,0
1.5,0.75,smooth_3,26.876855849435284,0,0
1.5,0.75,cummin,26.882912944283287,0,0
